opt1.thisRepN,opt1.thisTrialN,opt1.thisN,opt1.thisIndex,staircase_loop.thisTrialN,staircase_loop.stepSize,staircase_loop.intensity,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,polygon_2.started,text_4.started,polygon_2.stopped,text_4.stopped,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
0,0,0,0,359,0.005,0.5,,,,,1298.333102399949,1298.333102399949,1301.3473940000404,1301.3473940000404,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,360,0.005,0.5,,,,,1301.8612055999693,1301.8612055999693,1304.8712865000125,1304.8712865000125,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,361,0.005,0.5,,,,,1305.3653976999922,1305.3653976999922,1308.3840623999713,1308.3840623999713,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,362,0.005,0.5,,,,,1308.8840063000098,1308.8840063000098,1311.9027253000531,1311.9027253000531,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,363,0.005,0.5,,,,,1312.3985186000355,1312.3985186000355,1315.4166487000184,1315.4166487000184,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,364,0.005,0.5,,,,,1315.912810000009,1315.912810000009,1318.9193756999448,1318.9193756999448,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,365,0.005,0.5,,,,,1319.4156547000166,1319.4156547000166,1322.4443840000313,1322.4443840000313,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,366,0.005,0.5,,,,,1322.9595031000208,1322.9595031000208,1325.9703618000494,1325.9703618000494,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,367,0.005,0.5,,,,,1326.46474830003,1326.46474830003,1329.4904794000322,1329.4904794000322,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,368,0.005,0.5,,,,,1329.981140900054,1329.981140900054,1332.9996889999602,1332.9996889999602,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,369,0.005,0.5,,,,,1333.4974333000137,1333.4974333000137,1336.5169994999887,1336.5169994999887,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,370,0.005,0.5,,,,,1337.0147272000322,1337.0147272000322,1340.0306355999783,1340.0306355999783,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,371,0.005,0.5,,,,,1340.5324197999435,1340.5324197999435,1343.5500328999478,1343.5500328999478,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,372,0.005,0.5,,,,,1344.0476203999715,1344.0476203999715,1347.065105900052,1347.065105900052,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,373,0.005,0.5,,,,,1347.5636085000588,1347.5636085000588,1350.5816810999531,1350.5816810999531,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,374,0.005,0.5,,,,,1351.0786160000134,1351.0786160000134,1354.0977277000202,1354.0977277000202,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,375,0.005,0.5,,,,,1354.5813060000073,1354.5813060000073,1357.5979330999544,1357.5979330999544,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
